,timestamp,tag,type,description
0,2024-05-01 01:32:20.000000000,AIR003_3,H,PURGE C CONCENTRATION HIGH ALARM
1,2024-05-01 01:36:10.000000000,AIR001_3,H,REACTOR FEED C CONCENTRATION HIGH ALARM
2,2024-05-01 02:04:10.000000000,AIR001_1,L,REACTOR FEED A CONCENTRATION LOW ALARM
3,2024-05-01 02:14:20.000000000,AIR003_1,L,PURGE A CONCENTRATION LOW ALARM
4,2024-05-01 02:49:10.000000000,AIR002_2,H,SEPARATOR UNDERFLOW E CONCENTRATION HIGH ALARM
5,2024-05-01 03:13:40.000000000,AIR001_6,L,REACTOR FEED F CONCENTRATION LOW ALARM
6,2024-05-01 03:16:50.000000000,AIR001_2,L,REACTOR FEED B CONCENTRATION LOW ALARM
7,2024-05-01 03:34:50.000000000,FIR123,H,FLOW CONDENSER COOLING WATER HIGH ALARM
8,2024-05-01 03:52:50.000000000,AIR001_5,H,REACTOR FEED E CONCENTRATION HIGH ALARM
9,2024-05-01 03:57:50.000000000,AIR003_5,H,PURGE E CONCENTRATION HIGH ALARM
10,2024-05-01 04:20:30.000000000,FIR100,H,FLOW FEED A HIGH ALARM
11,2024-05-01 04:29:10.000000000,FIR115,L,FLOW PURGE LOW ALARM
12,2024-05-01 04:39:50.000000000,V160,H,VALVE POSITION FEED A HIGH ALARM
13,2024-05-01 04:44:30.000000000,AIR003_8,L,PURGE H CONCENTRATION LOW ALARM
14,2024-05-01 04:58:10.000000000,V167,L,VALVE POSITION PURGE LOW ALARM
15,2024-05-01 05:26:10.000000000,AIR003_5,H NR,PURGE E CONCENTRATION HIGH ALARM RECOVERED
16,2024-05-01 05:36:10.000000000,AIR003_1,L NR,PURGE A CONCENTRATION LOW ALARM RECOVERED
17,2024-05-01 05:56:30.000000000,AIR003_8,L NR,PURGE H CONCENTRATION LOW ALARM RECOVERED
18,2024-05-01 05:56:40.000000000,AIR001_1,L NR,REACTOR FEED A CONCENTRATION LOW ALARM RECOVERED
19,2024-05-01 05:59:50.000000000,AIR001_2,L NR,REACTOR FEED B CONCENTRATION LOW ALARM RECOVERED
20,2024-05-01 06:13:20.000000000,AIR003_3,H NR,PURGE C CONCENTRATION HIGH ALARM RECOVERED
21,2024-05-01 06:16:40.000000000,AIR001_3,H NR,REACTOR FEED C CONCENTRATION HIGH ALARM RECOVERED
22,2024-05-01 06:43:40.000000000,AIR001_6,L NR,REACTOR FEED F CONCENTRATION LOW ALARM RECOVERED
23,2024-05-01 06:51:10.000000000,FIR123,H NR,FLOW CONDENSER COOLING WATER HIGH ALARM RECOVERED
24,2024-05-01 07:01:50.000000000,AIR003_3,L,PURGE C CONCENTRATION LOW ALARM
25,2024-05-01 07:12:40.000000000,V160,H NR,VALVE POSITION FEED A HIGH ALARM RECOVERED
26,2024-05-01 07:19:20.000000000,AIR001_3,L,REACTOR FEED C CONCENTRATION LOW ALARM
27,2024-05-01 07:36:20.000000000,FIR100,H NR,FLOW FEED A HIGH ALARM RECOVERED
28,2024-05-01 07:38:30.000000000,V167,L NR,VALVE POSITION PURGE LOW ALARM RECOVERED
29,2024-05-01 07:46:40.000000000,AIR001_5,H NR,REACTOR FEED E CONCENTRATION HIGH ALARM RECOVERED
30,2024-05-01 07:50:10.000000000,FIR115,L NR,FLOW PURGE LOW ALARM RECOVERED
31,2024-05-01 10:01:10.000000000,AIR002_2,H NR,SEPARATOR UNDERFLOW E CONCENTRATION HIGH ALARM RECOVERED
32,2024-05-01 10:54:50.000000000,AIR001_3,L NR,REACTOR FEED C CONCENTRATION LOW ALARM RECOVERED
33,2024-05-01 11:09:00.000000000,AIR003_3,L NR,PURGE C CONCENTRATION LOW ALARM RECOVERED
34,2024-05-01 11:27:40.000000000,AIR003_3,L,PURGE C CONCENTRATION LOW ALARM
35,2024-05-01 11:32:50.000000000,AIR001_3,L,REACTOR FEED C CONCENTRATION LOW ALARM
36,2024-05-01 12:15:30.000000000,AIR001_1,H,REACTOR FEED A CONCENTRATION HIGH ALARM
37,2024-05-01 12:38:30.000000000,FIR123,L,FLOW CONDENSER COOLING WATER LOW ALARM
38,2024-05-01 12:39:50.000000000,AIR003_1,H,PURGE A CONCENTRATION HIGH ALARM
39,2024-05-01 13:13:00.000000000,AIR003_8,H,PURGE H CONCENTRATION HIGH ALARM
40,2024-05-01 13:32:50.000000000,AIR002_2,L,SEPARATOR UNDERFLOW E CONCENTRATION LOW ALARM
41,2024-05-01 14:34:20.000000000,AIR003_8,H NR,PURGE H CONCENTRATION HIGH ALARM RECOVERED
42,2024-05-01 14:52:40.000000000,FIR123,L NR,FLOW CONDENSER COOLING WATER LOW ALARM RECOVERED
43,2024-05-01 15:40:10.000000000,AIR003_1,H NR,PURGE A CONCENTRATION HIGH ALARM RECOVERED
44,2024-05-01 15:55:00.000000000,AIR001_3,L NR,REACTOR FEED C CONCENTRATION LOW ALARM RECOVERED
45,2024-05-01 16:07:00.000000000,AIR003_3,L NR,PURGE C CONCENTRATION LOW ALARM RECOVERED
46,2024-05-01 16:08:00.000000000,AIR001_1,H NR,REACTOR FEED A CONCENTRATION HIGH ALARM RECOVERED
47,2024-05-01 16:47:40.000000000,AIR002_2,L NR,SEPARATOR UNDERFLOW E CONCENTRATION LOW ALARM RECOVERED
48,2024-05-01 17:51:10.000000000,AIR003_3,H,PURGE C CONCENTRATION HIGH ALARM
49,2024-05-01 21:01:40.000000000,AIR003_3,H NR,PURGE C CONCENTRATION HIGH ALARM RECOVERED
50,2024-05-01 22:05:10.000000000,AIR002_2,H,SEPARATOR UNDERFLOW E CONCENTRATION HIGH ALARM
51,2024-05-02 00:30:00.000000000,AIR002_2,H NR,SEPARATOR UNDERFLOW E CONCENTRATION HIGH ALARM RECOVERED
52,2024-05-02 05:12:30.000000000,AIR103_2,H,C FEED B CONCENTRATION HIGH ALARM
53,2024-05-02 09:14:20.000000000,AIR001_6,L,REACTOR FEED F CONCENTRATION LOW ALARM
54,2024-05-02 10:33:50.000000000,AIR002_3,L,SEPARATOR UNDERFLOW F CONCENTRATION LOW ALARM
55,2024-05-02 11:02:40.000000000,AIR002_3,L NR,SEPARATOR UNDERFLOW F CONCENTRATION LOW ALARM RECOVERED
56,2024-05-02 11:30:10.000000000,AIR003_6,L,PURGE F CONCENTRATION LOW ALARM
57,2024-05-02 11:33:20.000000000,AIR002_3,L,SEPARATOR UNDERFLOW F CONCENTRATION LOW ALARM
58,2024-05-02 11:52:00.000000000,AIR002_3,L NR,SEPARATOR UNDERFLOW F CONCENTRATION LOW ALARM RECOVERED
59,2024-05-02 12:15:40.000000000,AIR002_3,L,SEPARATOR UNDERFLOW F CONCENTRATION LOW ALARM
60,2024-05-03 01:39:00.000000000,AIR002_2,L,SEPARATOR UNDERFLOW E CONCENTRATION LOW ALARM
61,2024-05-03 02:49:10.000000000,AIR002_2,L NR,SEPARATOR UNDERFLOW E CONCENTRATION LOW ALARM RECOVERED
62,2024-05-04 04:09:40.000000000,AIR103_2,H NR,C FEED B CONCENTRATION HIGH ALARM RECOVERED
63,2024-05-04 10:20:50.000000000,AIR002_2,L,SEPARATOR UNDERFLOW E CONCENTRATION LOW ALARM
64,2024-05-04 12:02:10.000000000,AIR002_2,L NR,SEPARATOR UNDERFLOW E CONCENTRATION LOW ALARM RECOVERED
65,2024-05-04 17:20:20.000000000,AIR002_3,L NR,SEPARATOR UNDERFLOW F CONCENTRATION LOW ALARM RECOVERED
66,2024-05-04 17:32:00.000000000,AIR003_6,L NR,PURGE F CONCENTRATION LOW ALARM RECOVERED
67,2024-05-04 17:47:30.000000000,AIR002_3,L,SEPARATOR UNDERFLOW F CONCENTRATION LOW ALARM
68,2024-05-04 18:18:10.000000000,AIR002_3,L NR,SEPARATOR UNDERFLOW F CONCENTRATION LOW ALARM RECOVERED
69,2024-05-04 21:12:00.000000000,AIR103_2,H,C FEED B CONCENTRATION HIGH ALARM
70,2024-05-04 21:15:10.000000000,AIR103_2,H NR,C FEED B CONCENTRATION HIGH ALARM RECOVERED
71,2024-05-05 01:49:00.000000000,AIR001_6,L NR,REACTOR FEED F CONCENTRATION LOW ALARM RECOVERED
72,2024-05-05 07:00:29.999999999,FIR102,L,FLOW FEED E LOW ALARM
73,2024-05-05 07:03:20.000000002,FIR123,L,FLOW CONDENSER COOLING WATER LOW ALARM
74,2024-05-05 07:06:10.000000001,V162,L,VALVE POSITION FEED E LOW ALARM
75,2024-05-05 07:10:59.999999999,FIR122,L,FLOW REACTOR COOLING WATER LOW ALARM
76,2024-05-05 07:13:30.000000000,AIR001_5,L,REACTOR FEED E CONCENTRATION LOW ALARM
77,2024-05-05 07:16:30.000000000,FIR114,H,FLOW COMPRESSOR RECYCLE HIGH ALARM
78,2024-05-05 07:17:10.000000000,K100,H,COMPRESSOR WORK HIGH ALARM
79,2024-05-05 07:18:10.000000001,TIR113,H,FLOW FEED A HIGH ALARM
80,2024-05-05 07:18:50.000000000,AIR003_5,L,PURGE E CONCENTRATION LOW ALARM
81,2024-05-05 07:19:00.000000001,AIR003_8,H,PURGE H CONCENTRATION HIGH ALARM
82,2024-05-05 07:21:50.000000000,AIR003_7,H,PURGE G CONCENTRATION HIGH ALARM
83,2024-05-05 07:23:49.999999999,TIR118,H,TEMPERATURE SEPARATOR HIGH ALARM
84,2024-05-05 07:24:10.000000001,TIR111,H,TEMPERATURE STRIPER HIGH ALARM
85,2024-05-05 07:24:10.000000001,AIR003_3,H,PURGE C CONCENTRATION HIGH ALARM
86,2024-05-05 07:27:20.000000002,AIR001_3,H,REACTOR FEED C CONCENTRATION HIGH ALARM
87,2024-05-05 07:28:09.999999998,PIR108,H,PRESSURE REACTOR HIGH ALARM
88,2024-05-05 07:30:20.000000002,AIR001_1,H,REACTOR FEED A CONCENTRATION HIGH ALARM
89,2024-05-05 07:30:50.000000000,FIR115,H,FLOW PURGE HIGH ALARM
90,2024-05-05 07:32:20.000000000,AIR002_2,L,SEPARATOR UNDERFLOW E CONCENTRATION LOW ALARM
91,2024-05-05 07:33:00.000000000,PIR108,HH,PRESSURE REACTOR HIGH HIGH ALARM
